[2025-11-08 15:58:46,823] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/CheckLoginStatus HTTP/1.1" 200 138
[2025-11-08 15:58:46,825] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-11-08 15:58:48,864] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/CheckLoginStatus HTTP/1.1" 200 137
[2025-11-08 15:58:48,865] INFO     [MainThread|MainProcess] adapter.nc.login (login.py:_qrcode_login:245) | 登录成功
[2025-11-08 15:58:48,866] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-11-08 15:58:50,939] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/CheckLoginStatus HTTP/1.1" 200 137
[2025-11-08 15:58:50,940] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-11-08 15:58:53,013] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 127
[2025-11-08 15:58:53,013] INFO     [MainThread|MainProcess] adapter.nc.launcher (launcher.py:connect_napcat:58) | 正在连接 napcat websocket 服务器...
[2025-11-08 15:58:53,014] DEBUG    [MainThread|MainProcess] asyncio (proactor_events.py:__init__:631) | Using proactor: IocpProactor
[2025-11-08 15:58:53,016] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:__init__:256) | = connection is CONNECTING
[2025-11-08 15:58:53,017] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:114) | > GET / HTTP/1.1
[2025-11-08 15:58:53,017] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Host: localhost:3001
[2025-11-08 15:58:53,017] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Upgrade: websocket
[2025-11-08 15:58:53,017] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Connection: Upgrade
[2025-11-08 15:58:53,017] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Key: JAL/lKfbcCnTU6WfnXiO/w==
[2025-11-08 15:58:53,018] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Version: 13
[2025-11-08 15:58:53,018] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
[2025-11-08 15:58:53,018] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Content-Type: application/json
[2025-11-08 15:58:53,018] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > User-Agent: Python/3.13 websockets/10.4
[2025-11-08 15:58:53,020] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:147) | < HTTP/1.1 101 Switching Protocols
[2025-11-08 15:58:53,020] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Upgrade: websocket
[2025-11-08 15:58:53,020] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Connection: Upgrade
[2025-11-08 15:58:53,020] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Sec-WebSocket-Accept: +1lOXq7oA8Si+N8cqHp8U8bBZn4=
[2025-11-08 15:58:53,020] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_open:357) | = connection is OPEN
[2025-11-08 15:58:53,021] DEBUG    [MainThread|MainProcess] Logger (wsroute.py:check_websocket:30) | WebSocket ws://localhost:3001 可用.
[2025-11-08 15:58:53,021] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_close_frame:1232) | = connection is CLOSING
[2025-11-08 15:58:53,021] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > CLOSE 1000 (OK) [2 bytes]
[2025-11-08 15:58:53,021] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"time":1762588733,"self_id":3927480137,"post_t...","sub_type":"connect"}' [116 bytes]
[2025-11-08 15:58:53,022] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < CLOSE 1000 (OK) [2 bytes]
[2025-11-08 15:58:53,023] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_lost:1514) | = connection is CLOSED
[2025-11-08 15:58:53,024] INFO     [MainThread|MainProcess] adapter.nc.launcher (launcher.py:connect_napcat:64) | 连接 napcat websocket 服务器成功!
[2025-11-08 15:58:53,025] INFO     [MainThread|MainProcess] Logger (client.py:run:317) | NapCat 服务启动登录完成
[2025-11-08 15:58:53,025] DEBUG    [MainThread|MainProcess] asyncio (proactor_events.py:__init__:631) | Using proactor: IocpProactor
[2025-11-08 15:58:53,027] DEBUG    [MainThread|MainProcess] Logger (client.py:info_subscribe_message_types:249) | 已订阅消息类型:[群聊]全部消息类型
[2025-11-08 15:58:53,027] DEBUG    [MainThread|MainProcess] Logger (client.py:info_subscribe_message_types:250) | 已订阅消息类型:[私聊]全部消息类型
[2025-11-08 15:58:53,027] INFO     [MainThread|MainProcess] PluginLoader (loader.py:load_plugins:474) | 插件目录: E:\hhttmmll\Py\QQBot\plugins 不存在......跳过加载插件
