[2025-11-01 14:58:31,055] DEBUG    [ThreadPoolExecutor-0_0|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:1022) | Starting new HTTPS connection (1): ghfast.top:443
[2025-11-01 14:58:31,409] WARNING  [MainThread|MainProcess] Logger (config.py:validate_config:179) | 建议设置好 root 账号保证权限功能能够正常使用
[2025-11-01 14:58:31,410] INFO     [MainThread|MainProcess] Logger (config.py:validate_config:180) | [BOTQQ]: 3927480137 | [WSURI]: ws://localhost:3001 | [WS_TOKEN]:  | [ROOT]: 123456 | [WEBUI]: http://localhost:6099
[2025-11-01 14:58:31,410] INFO     [MainThread|MainProcess] Logger (config.py:validate_config:192) | 未启用插件白名单或黑名单，将加载所有插件
[2025-11-01 14:58:31,410] DEBUG    [MainThread|MainProcess] AccessController (access_controller.py:_load_access:172) | 加载权限
[2025-11-01 14:58:31,411] DEBUG    [MainThread|MainProcess] asyncio (proactor_events.py:__init__:631) | Using proactor: IocpProactor
[2025-11-01 14:58:31,894] DEBUG    [ThreadPoolExecutor-0_0|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://ghfast.top:443 "GET / HTTP/1.1" 200 None
[2025-11-01 14:58:35,724] INFO     [MainThread|MainProcess] adapter.nc.start (start.py:read_webui_config:286) | Token: napcat, Webui port: 6099
[2025-11-01 14:58:35,725] INFO     [MainThread|MainProcess] adapter.nc.start (start.py:get_launcher_name:126) | 当前操作系统为: Windows 11
[2025-11-01 14:58:35,725] INFO     [MainThread|MainProcess] adapter.nc.start (start.py:start_napcat_windows:139) | 正在启动QQ, 启动器路径: E:\hhttmmll\Py\QQBot\napcat\launcher.bat
[2025-11-01 14:58:35,743] DEBUG    [MainThread|MainProcess] asyncio (proactor_events.py:__init__:631) | Using proactor: IocpProactor
[2025-11-01 14:58:39,804] INFO     [MainThread|MainProcess] adapter.nc.launcher (launcher.py:launch_napcat_service:146) | 登录中...
[2025-11-01 14:58:39,804] INFO     [MainThread|MainProcess] adapter.nc.login (login.py:login:296) | 即将弹出权限请求, 请允许
[2025-11-01 14:58:39,826] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
